12.10.2021;Liste over politisk eksponerede personer jf. hvidvasklovens § 18, stk. 7, jf. § 2, stk. 1, nr. 8, litra a-h;;;;;;;;;;;
;Navn;;Stillingsbetegnelse ;Fødselsdato;Tilføjet på PEP-listen (dato);Ny på PEP-listen (x);;;;;;
Statschef, regeringschef, minister og viceminister eller ass. minister, jf. § 2, stk. 1, nr. 8 litra a;;;;;;;;;;;;
;Frederiksen;Mette;Statsminister ;19.11.1977;09.07.2019;;;;;;;
;Kofod;Jeppe;Udenrigsminister;14.03.1974;09.07.2019;;;;;;;
 ;Hækkerup;Nick ;Justitsminister;03.04.1968;09.07.2019;;;;;;;
;Wammen;Nicolai Halby;Finansminister;07.02.1971;09.07.2019;;;;;;;
;Bramsen;Trine;Forsvarsminister;26.03.1981;09.07.2019;;;;;;;
;Krag;Astrid;Social- og indenrigsminister;17.11.1982;09.07.2019;;;;;;;
;Mortensen;Flemming Møller;Minister for udviklingssamarbejde og Nordisk Samarbejde;03.07.1963;16.08.2021;;;;;;;
 ;Hummelgaard;Peter ;Beskæftigelsesminister;17.01.1983;09.07.2019;;;;;;;
;Tesfaye;Mattias;Udlændinge- og Integrationsminister;31.03.1981;09.07.2019;;;;;;;
;Petersen;Jesper;Uddannelses- og Forskningsminister;25.08.1981;24.08.2021;;;;;;;
;Jørgensen;Dan;Klima-, Energi- og Forsyningsminister;12.06.1975;09.07.2019;;;;;;;
;Bødskov;Morten;Skatteminister;01.05.1970;09.07.2019;;;;;;;
 ;Rosenkrantz-Theil;Pernille ;Børne- og undervisningsminister;17.01.1977;09.07.2019;;;;;;;
;Halsboe-Jørgensen;Ane;Kultur og Kirkeminister;04.05.1983;24.08.2021;;;;;;;
 ;Engelbrecht;Benny;Transportminister;04.08.1970;10.07.2019;;;;;;;
 ;Bek;Kaare Dybvad;Boligminister;05.08.1984;10.07.2019;;;;;;;
;Heunicke;Magnus Johannes;Sundheds- og ældreminister;28.01.1975;09.07.2019;;;;;;;
;Wermelin;Lea ;Miljøminister;10.05.1985;09.07.2019;;;;;;;
 ;Prehn;Rasmus;Minister for fødevarer, fiskeri og ligestilling og minister for nordisk samarbejde;18.06.1973;09.09.2021;;;;;;;
;Kollerup;Simon;Erhvervsminister ;20.05.1986;27.06.2019;;;;;;;
Departementschefer ;;;;;;;;;;;;
;Bæk;Morten;Forsvarsministeriet, departementschef;25.06.1973;04.08.2021;;;;;;;
;Bertelsen ;Barbara ;Statsministeriet, departementschef;24.09.1973;13.01.2020;;;;;;;
;Brøchner;Jens;Skatteministeriet, departementschef;16.08.1972;29.12.2017;;;;;;;
